时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 21:49:20:249	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.658	0.739	1.038	-0.061		-40.67	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:266	WTRIGHT(D0:74:13:DA:DA:8C)	-0.695	0.682	0.228	-0.488	0.183	-1.526	-18.87	45.13	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:266	WTRIGHT(D0:74:13:DA:DA:8C)	-0.697	0.679	0.231	-0.122	0.183	-1.282	-18.87	45.13	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:267	WTRIGHT(D0:74:13:DA:DA:8C)	-0.702	0.679	0.229	-0.183	0.183	-0.977	-18.87	45.14	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:267	WTRIGHT(D0:74:13:DA:DA:8C)	-0.695	0.678	0.229	-0.122	0.122	-0.671	-18.87	45.14	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:267	WTRIGHT(D0:74:13:DA:DA:8C)	-0.701	0.68	0.229	-0.061	-0.061	-0.244	-18.87	45.14	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:267	WTRIGHT(D0:74:13:DA:DA:8C)	-0.697	0.679	0.23	0.366		-0.305	-18.87	45.14	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:268	WTRIGHT(D0:74:13:DA:DA:8C)	-0.695	0.679	0.228	0.122	0.122	0.061	-18.87	45.14	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:268	WTRIGHT(D0:74:13:DA:DA:8C)	-0.698	0.682	0.22	-0.244	0.061	0.244	-18.87	45.14	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:270	WTRIGHT(D0:74:13:DA:DA:8C)	-0.695	0.68	0.216	-0.305		0.488	-18.87	45.14	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:270	WTRIGHT(D0:74:13:DA:DA:8C)	-0.699	0.681	0.217	0.122	-0.061	0.732	-18.87	45.14	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:271	WTRIGHT(D0:74:13:DA:DA:8C)	-0.699	0.68	0.22	0.122	-0.061	0.977	-18.87	45.14	-163.61	-53.508	-10.878	92.806	32.1	100
