时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 12:49:32:137	WTRIGHT(D0:74:13:DA:DA:8C)	0.018	-0.976	0.130	-4.944	11.902	19.958	-81.33	-11.49	-49.66	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:137	WTRIGHT(D0:74:13:DA:DA:8C)	0.416	-0.830	0.067	-10.376	12.451	19.104	-81.37	-11.37	-49.71	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:137	WTRIGHT(D0:74:13:DA:DA:8C)	0.545	-0.994	0.145	-10.010	12.268	19.592	-81.42	-11.25	-49.75	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:137	WTRIGHT(D0:74:13:DA:DA:8C)	-0.053	-0.947	0.091	-9.338	11.658	24.658	-81.46	-11.11	-49.77	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:137	WTRIGHT(D0:74:13:DA:DA:8C)	0.417	-0.641	0.320	-9.644	10.498	26.489	-81.50	-10.96	-49.80	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:137	WTRIGHT(D0:74:13:DA:DA:8C)	0.229	-0.795	0.175	-11.719	11.597	26.672	-81.56	-10.82	-49.83	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:138	WTRIGHT(D0:74:13:DA:DA:8C)	0.189	-1.007	-0.005	-12.573	8.301	32.349	-81.62	-10.65	-49.83	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:155	WTGSB-A6(C3:11:EA:D7:53:77)	-0.370	-0.886	0.216	4.150	6.775	-14.160	-76.25	17.46	-79.52	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.250	-0.969	0.337	3.967	7.019	-13.855	-76.25	17.40	-79.56	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.395	-0.793	0.334	4.211	4.272	-15.442	-76.23	17.33	-79.57	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.452	-0.749	0.235	4.089	2.930	-15.564	-76.22	17.27	-79.59	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.381	-0.862	0.152	4.517	1.343	-16.296	-76.21	17.19	-79.60	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.311	-0.934	0.287	4.517	0.549	-18.738	-76.20	17.11	-79.60	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.326	-0.822	0.418	5.554	-1.343	-20.508	-76.17	17.01	-79.60	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.403	-0.852	0.442	4.272	-0.793	-22.278	-76.15	16.91	-79.60	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:166	WTRIGHT(D0:74:13:DA:DA:8C)	0.346	-0.776	0.198	-12.207	9.277	32.471	-81.68	-10.48	-49.84	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:166	WTRIGHT(D0:74:13:DA:DA:8C)	-0.006	-0.792	0.112	-13.428	9.888	37.231	-81.74	-10.29	-49.86	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:166	WTRIGHT(D0:74:13:DA:DA:8C)	0.122	-0.927	0.131	-16.663	6.592	40.344	-81.83	-10.08	-49.85	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:166	WTRIGHT(D0:74:13:DA:DA:8C)	0.193	-0.823	0.114	-17.822	6.775	39.673	-81.91	-9.88	-49.84	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:166	WTRIGHT(D0:74:13:DA:DA:8C)	0.216	-0.851	-0.010	-21.057	5.005	43.274	-82.02	-9.66	-49.83	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:167	WTRIGHT(D0:74:13:DA:DA:8C)	0.153	-0.728	0.076	-20.935	5.615	44.250	-82.13	-9.44	-49.82	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:167	WTRIGHT(D0:74:13:DA:DA:8C)	0.383	-0.662	0.087	-21.179	6.287	46.387	-82.24	-9.21	-49.81	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:167	WTRIGHT(D0:74:13:DA:DA:8C)	0.016	-0.762	-0.001	-21.973	7.263	45.898	-82.35	-8.98	-49.80	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:220	WTGSB-A6(C3:11:EA:D7:53:77)	-0.394	-0.753	0.473	3.174	-0.793	-23.682	-76.14	16.80	-79.61	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:221	WTGSB-A6(C3:11:EA:D7:53:77)	-0.420	-0.713	0.355	3.113	-1.953	-25.879	-76.12	16.68	-79.61	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:221	WTGSB-A6(C3:11:EA:D7:53:77)	-0.360	-0.772	0.384	2.258	-1.892	-28.076	-76.11	16.56	-79.62	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
