时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:25:58:32	WTRIGHT(D0:74:13:DA:DA:8C)	0.772	-1.340	-0.175	49.500	-97.656	-5.554	-78.34	-21.17	-84.31	-32.340	7.252	-11.368	-0.41849	0.51761	-0.38489	0.63928	6.8	13111	60
2025-5-24 13:25:58:33	WTRIGHT(D0:74:13:DA:DA:8C)	-0.108	-1.299	-0.052	54.016	-94.299	-6.958	-78.26	-21.25	-83.84	-32.340	7.252	-11.368	-0.41849	0.51761	-0.38489	0.63928	6.8	13111	60
2025-5-24 13:25:58:33	WTRIGHT(D0:74:13:DA:DA:8C)	-0.097	-0.582	0.037	56.091	-94.360	1.038	-78.16	-21.29	-83.36	-32.340	7.252	-11.368	-0.41849	0.51761	-0.38489	0.63928	6.8	13111	60
2025-5-24 13:25:58:33	WTRIGHT(D0:74:13:DA:DA:8C)	0.454	-0.945	-0.313	49.133	-95.825	-15.137	-78.10	-21.41	-82.89	-32.340	7.252	-11.368	-0.41849	0.51761	-0.38489	0.63928	6.8	13111	60
2025-5-24 13:25:58:33	WTRIGHT(D0:74:13:DA:DA:8C)	0.760	-0.943	-0.090	46.570	-89.600	-13.123	-78.05	-21.52	-82.45	-32.340	7.252	-11.368	-0.41849	0.51761	-0.38489	0.63928	6.8	13111	60
2025-5-24 13:25:58:34	WTRIGHT(D0:74:13:DA:DA:8C)	0.333	-1.673	-0.069	51.270	-96.924	-3.784	-77.99	-21.60	-81.95	-32.340	7.252	-11.368	-0.41849	0.51761	-0.38489	0.63928	6.8	13111	60
2025-5-24 13:25:58:34	WTRIGHT(D0:74:13:DA:DA:8C)	0.048	-0.994	0.287	53.528	-95.703	-5.615	-77.93	-21.69	-81.47	-32.340	7.252	-11.368	-0.41849	0.51761	-0.38489	0.63928	6.8	13111	60
2025-5-24 13:25:58:50	WTGSB-A6(C3:11:EA:D7:53:77)	0.078	-1.673	0.078	-45.471	-77.271	83.618	-74.01	35.84	26.44	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:51	WTGSB-A6(C3:11:EA:D7:53:77)	0.214	-1.124	0.011	-46.265	-81.726	76.416	-73.99	36.05	26.88	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:51	WTGSB-A6(C3:11:EA:D7:53:77)	-0.328	-1.490	-0.365	-49.255	-75.195	87.646	-74.00	36.32	27.30	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:51	WTGSB-A6(C3:11:EA:D7:53:77)	-0.498	-0.891	0.297	-49.805	-77.576	94.788	-73.99	36.61	27.75	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:52	WTGSB-A6(C3:11:EA:D7:53:77)	-1.109	-1.424	0.391	-53.833	-65.857	104.065	-74.02	36.97	28.15	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:52	WTGSB-A6(C3:11:EA:D7:53:77)	0.364	-1.555	-0.213	-51.758	-73.730	91.614	-74.02	37.27	28.58	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:52	WTGSB-A6(C3:11:EA:D7:53:77)	-0.028	-0.730	0.096	-48.462	-74.585	88.806	-74.00	37.53	29.00	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:52	WTGSB-A6(C3:11:EA:D7:53:77)	-1.057	-0.812	0.507	-49.072	-74.402	105.469	-73.97	37.89	29.45	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:56	WTGSB-A6(C3:11:EA:D7:53:77)	-1.192	-0.948	-0.031	-52.551	-70.190	108.398	-73.95	38.27	29.89	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:56	WTGSB-A6(C3:11:EA:D7:53:77)	-0.155	-1.718	-0.363	-47.791	-83.191	89.478	-73.88	38.53	30.38	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:57	WTGSB-A6(C3:11:EA:D7:53:77)	0.170	-1.801	-0.142	-42.969	-73.364	91.309	-73.82	38.83	30.81	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:57	WTGSB-A6(C3:11:EA:D7:53:77)	0.107	-1.152	0.240	-39.368	-79.224	93.262	-73.72	39.11	31.27	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:57	WTGSB-A6(C3:11:EA:D7:53:77)	-0.844	-0.445	0.333	-45.593	-78.491	101.624	-73.63	39.44	31.76	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:57	WTGSB-A6(C3:11:EA:D7:53:77)	-0.493	-1.482	0.284	-47.546	-78.003	102.112	-73.54	39.77	32.23	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
2025-5-24 13:25:58:58	WTGSB-A6(C3:11:EA:D7:53:77)	-0.030	-1.652	0.284	-44.312	-73.975	91.797	-73.47	40.05	32.68	-30.282	-2.548	75.460	0.76105	-0.61807	0.13403	0.14395	6.8	13111	30
