时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:29:21:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.153	-1.080	0.172	29.358	17.090	55.725	-86.95	-8.70	-117.78	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:280	WTRIGHT(D0:74:13:DA:DA:8C)	-0.120	-0.989	0.143	30.579	15.930	54.382	-86.74	-8.40	-117.78	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.370	-1.591	0.324	26.550	12.146	48.706	-86.56	-8.14	-117.76	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.414	-0.994	-0.421	33.936	9.888	42.908	-86.34	-7.90	-117.74	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.405	-0.841	-0.335	30.579	7.202	37.170	-86.14	-7.70	-117.70	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.600	-0.734	-0.668	26.611	1.709	32.532	-85.98	-7.53	-117.64	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:297	WTGSB-A6(C3:11:EA:D7:53:77)	-0.202	-1.308	-0.148	-67.139	16.235	-29.358	-80.21	13.26	22.34	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:297	WTGSB-A6(C3:11:EA:D7:53:77)	0.136	-2.307	0.170	-65.125	13.550	-24.597	-80.58	13.17	22.12	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:298	WTGSB-A6(C3:11:EA:D7:53:77)	-0.375	-2.440	0.075	-54.565	10.803	-12.329	-80.90	13.13	21.93	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:298	WTGSB-A6(C3:11:EA:D7:53:77)	-0.727	-2.642	-0.189	-46.265	5.554	12.329	-81.17	13.20	21.78	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:298	WTGSB-A6(C3:11:EA:D7:53:77)	-1.731	-0.428	-0.046	-32.288	0.793	29.358	-81.35	13.36	21.68	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:298	WTGSB-A6(C3:11:EA:D7:53:77)	-0.962	-1.564	0.438	-37.537	0.305	36.865	-81.56	13.57	21.58	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:298	WTGSB-A6(C3:11:EA:D7:53:77)	-0.409	-1.660	-0.057	-20.020	-8.972	38.330	-81.66	13.77	21.53	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:299	WTGSB-A6(C3:11:EA:D7:53:77)	-0.358	-0.846	0.396	-18.616	-12.573	46.936	-81.75	14.02	21.51	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:307	WTRIGHT(D0:74:13:DA:DA:8C)	0.476	-1.051	-0.945	29.907	-2.197	30.823	-85.81	-7.37	-117.56	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:312	WTRIGHT(D0:74:13:DA:DA:8C)	0.397	-1.246	-1.091	34.790	-4.761	28.992	-85.63	-7.23	-117.48	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:312	WTRIGHT(D0:74:13:DA:DA:8C)	0.146	-1.182	-0.962	40.894	-14.404	30.518	-85.44	-7.09	-117.36	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:312	WTRIGHT(D0:74:13:DA:DA:8C)	-0.013	-1.128	-0.808	46.326	-15.076	27.588	-85.22	-6.97	-117.22	-39.396	17.444	-10.682	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:312	WTRIGHT(D0:74:13:DA:DA:8C)	0.414	-0.887	-0.250	50.842	-13.123	25.146	-84.98	-6.85	-117.11	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:312	WTRIGHT(D0:74:13:DA:DA:8C)	0.203	-0.797	-0.317	48.401	-22.278	28.992	-84.77	-6.73	-116.95	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:312	WTRIGHT(D0:74:13:DA:DA:8C)	-0.460	-1.223	-0.204	52.795	-19.226	27.283	-84.53	-6.61	-116.80	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:312	WTRIGHT(D0:74:13:DA:DA:8C)	0.210	-0.532	-0.418	38.879	-26.611	28.931	-84.38	-6.49	-116.62	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:327	WTGSB-A6(C3:11:EA:D7:53:77)	-0.171	-1.171	1.105	-14.404	-14.893	62.561	-81.80	14.33	21.52	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:327	WTGSB-A6(C3:11:EA:D7:53:77)	-0.746	-0.584	0.802	-11.841	-18.188	68.420	-81.84	14.67	21.54	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:327	WTGSB-A6(C3:11:EA:D7:53:77)	-0.255	-0.318	1.589	-21.240	-17.334	63.599	-81.90	14.99	21.57	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:328	WTGSB-A6(C3:11:EA:D7:53:77)	-0.008	-0.553	1.197	-22.095	-18.127	58.960	-81.96	15.28	21.59	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:328	WTGSB-A6(C3:11:EA:D7:53:77)	-0.444	-0.782	0.904	-23.682	-16.541	52.612	-82.03	15.53	21.60	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:328	WTGSB-A6(C3:11:EA:D7:53:77)	-0.306	-0.878	0.795	-29.968	-17.822	46.387	-82.12	15.75	21.62	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:328	WTGSB-A6(C3:11:EA:D7:53:77)	-0.181	-0.763	0.680	-23.743	-19.348	38.330	-82.18	15.92	21.63	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
