时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:23:41:132	WTGSB-A6(C3:11:EA:D7:53:77)	-0.466	-0.984	-0.183	0.244	26.855	-87.158	-78.41	-7.06	-60.02	-45.080	22.442	86.240	0.69693	-0.57138	0.26263	-0.34457	6.8	13111	40
2025-5-24 13:23:41:132	WTGSB-A6(C3:11:EA:D7:53:77)	-0.095	-0.249	-0.158	-0.244	24.048	-85.815	-78.40	-7.37	-60.13	-45.080	22.442	86.240	0.69693	-0.57138	0.26263	-0.34457	6.8	13111	40
2025-5-24 13:23:41:132	WTGSB-A6(C3:11:EA:D7:53:77)	-0.218	-0.870	-0.024	0.488	25.696	-78.796	-78.38	-7.65	-60.24	-45.080	22.442	86.240	0.69693	-0.57138	0.26263	-0.34457	6.8	13111	40
2025-5-24 13:23:41:137	WTRIGHT(D0:74:13:DA:DA:8C)	-0.002	-0.838	0.072	-23.071	50.659	68.665	-96.67	16.20	-138.85	-22.050	26.362	-11.074	-0.38297	0.28076	-0.65640	0.58612	6.8	13111	60
2025-5-24 13:23:41:137	WTRIGHT(D0:74:13:DA:DA:8C)	0.127	-1.326	0.054	-11.108	48.279	65.674	-96.78	16.42	-139.10	-22.050	26.362	-11.074	-0.38297	0.28076	-0.65640	0.58612	6.8	13111	60
2025-5-24 13:23:41:137	WTRIGHT(D0:74:13:DA:DA:8C)	0.273	-1.265	0.197	-8.606	45.593	61.890	-96.87	16.63	-139.33	-22.050	26.362	-11.074	-0.38297	0.28076	-0.65640	0.58612	6.8	13111	60
2025-5-24 13:23:41:137	WTRIGHT(D0:74:13:DA:DA:8C)	0.508	-1.341	0.036	-11.292	43.213	55.359	-96.97	16.80	-139.54	-22.050	26.362	-11.074	-0.38297	0.28076	-0.65640	0.58612	6.8	13111	60
2025-5-24 13:23:41:138	WTRIGHT(D0:74:13:DA:DA:8C)	-0.264	-1.269	0.602	-6.775	44.678	55.603	-97.04	16.97	-139.76	-22.050	26.362	-11.074	-0.38297	0.28076	-0.65640	0.58612	6.8	13111	60
2025-5-24 13:23:41:138	WTRIGHT(D0:74:13:DA:DA:8C)	-0.613	-1.221	-0.062	-2.747	41.382	52.429	-97.09	17.13	-139.96	-22.050	26.362	-11.074	-0.38297	0.28076	-0.65640	0.58612	6.8	13111	60
2025-5-24 13:23:41:138	WTRIGHT(D0:74:13:DA:DA:8C)	0.631	-1.948	-0.142	5.310	36.133	36.804	-97.08	17.23	-140.11	-22.050	26.362	-11.074	-0.33014	0.15738	-0.72806	0.57968	6.8	13111	60
2025-5-24 13:23:41:138	WTRIGHT(D0:74:13:DA:DA:8C)	0.211	-1.134	-0.188	12.512	37.048	20.020	-97.05	17.23	-140.27	-22.050	26.362	-11.074	-0.33014	0.15738	-0.72806	0.57968	6.8	13111	60
2025-5-24 13:23:41:140	WTGSB-A6(C3:11:EA:D7:53:77)	-0.256	-0.500	-0.052	3.540	26.733	-65.186	-78.34	-7.86	-60.35	-45.080	22.442	86.240	0.69693	-0.57138	0.26263	-0.34457	6.8	13111	40
2025-5-24 13:23:41:140	WTGSB-A6(C3:11:EA:D7:53:77)	-0.177	-0.632	0.352	-5.615	24.597	-52.063	-78.35	-8.00	-60.43	-45.080	22.442	86.240	0.69693	-0.57138	0.26263	-0.34457	6.8	13111	40
2025-5-24 13:23:41:140	WTGSB-A6(C3:11:EA:D7:53:77)	-0.468	-1.067	-0.114	-6.042	24.841	-43.884	-78.37	-8.11	-60.50	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
