时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 12:50:22:569	WTRIGHT(D0:74:13:DA:DA:8C)	0.245	-0.999	0.258	0.183	10.132	-17.822	-79.25	-12.35	-35.41	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:570	WTRIGHT(D0:74:13:DA:DA:8C)	0.313	-0.930	0.300	-0.244	10.498	-18.494	-79.25	-12.44	-35.51	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:570	WTRIGHT(D0:74:13:DA:DA:8C)	0.240	-0.870	0.275	-1.038	10.986	-17.395	-79.26	-12.52	-35.61	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:570	WTRIGHT(D0:74:13:DA:DA:8C)	0.195	-0.986	0.116	-1.831	11.719	-15.991	-79.26	-12.60	-35.71	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:570	WTRIGHT(D0:74:13:DA:DA:8C)	0.046	-1.154	0.054	-1.404	13.123	-16.174	-79.26	-12.67	-35.82	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:571	WTRIGHT(D0:74:13:DA:DA:8C)	0.101	-1.113	0.043	-0.427	13.977	-17.456	-79.26	-12.74	-35.94	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:571	WTRIGHT(D0:74:13:DA:DA:8C)	0.162	-1.186	-0.025	1.343	15.381	-21.179	-79.25	-12.84	-36.06	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:571	WTRIGHT(D0:74:13:DA:DA:8C)	0.055	-0.928	0.081	2.075	16.602	-23.193	-79.23	-12.94	-36.19	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:575	WTRIGHT(D0:74:13:DA:DA:8C)	0.342	-0.967	0.139	3.052	16.479	-24.292	-79.21	-13.04	-36.33	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:575	WTRIGHT(D0:74:13:DA:DA:8C)	0.210	-1.189	0.119	4.700	16.724	-26.367	-79.17	-13.15	-36.47	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:575	WTRIGHT(D0:74:13:DA:DA:8C)	0.186	-1.018	0.100	7.446	16.113	-25.024	-79.12	-13.26	-36.61	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:576	WTRIGHT(D0:74:13:DA:DA:8C)	0.279	-1.075	0.185	8.728	16.235	-25.452	-79.07	-13.36	-36.74	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:576	WTRIGHT(D0:74:13:DA:DA:8C)	0.184	-0.961	0.187	9.644	15.625	-25.208	-79.01	-13.47	-36.88	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:576	WTRIGHT(D0:74:13:DA:DA:8C)	-0.159	-1.035	0.148	10.193	15.442	-23.193	-78.95	-13.57	-37.00	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:577	WTRIGHT(D0:74:13:DA:DA:8C)	0.187	-0.659	0.217	7.935	14.160	-22.705	-78.91	-13.66	-37.13	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:577	WTRIGHT(D0:74:13:DA:DA:8C)	0.241	-1.089	0.074	7.813	14.648	-24.902	-78.86	-13.77	-37.25	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:634	WTRIGHT(D0:74:13:DA:DA:8C)	0.229	-1.159	-0.084	9.766	15.625	-21.179	-78.80	-13.85	-37.38	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:634	WTRIGHT(D0:74:13:DA:DA:8C)	0.208	-0.847	0.186	9.583	14.771	-18.921	-78.74	-13.92	-37.51	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:635	WTRIGHT(D0:74:13:DA:DA:8C)	0.110	-1.004	0.000	7.751	15.259	-15.076	-78.70	-13.97	-37.62	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:635	WTRIGHT(D0:74:13:DA:DA:8C)	0.082	-0.968	0.037	6.409	15.198	-13.123	-78.67	-14.01	-37.74	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
2025-5-24 12:50:22:635	WTRIGHT(D0:74:13:DA:DA:8C)	0.031	-0.986	0.110	6.653	14.893	-10.498	-78.63	-14.04	-37.86	-53.508	26.166	43.610	0.72266	-0.60568	0.10208	-0.31683	4.2	13111	75
