时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:32:14:200	WTRIGHT(D0:74:13:DA:DA:8C)	0.615	-0.949	-0.181	-15.137	-10.803	-14.099	-67.99	-26.16	-68.49	-62.622	-1.666	6.566	0.61008	-0.54843	0.14941	-0.55191	7.0	13111	60
2025-5-24 13:32:14:200	WTRIGHT(D0:74:13:DA:DA:8C)	0.548	-1.355	-0.499	-12.573	-9.644	-10.742	-68.10	-26.22	-68.52	-62.622	-1.666	6.566	0.61008	-0.54843	0.14941	-0.55191	7.0	13111	60
2025-5-24 13:32:14:200	WTRIGHT(D0:74:13:DA:DA:8C)	0.362	-1.135	-0.347	-5.432	-7.324	-9.644	-68.16	-26.27	-68.55	-62.622	-1.666	6.566	0.61008	-0.54843	0.14941	-0.55191	7.0	13111	60
2025-5-24 13:32:14:218	WTGSB-A6(C3:11:EA:D7:53:77)	-0.713	-0.996	0.587	7.263	6.897	35.889	-68.16	44.91	26.56	-25.578	-19.306	55.272	-0.70370	0.57242	-0.16394	-0.38748	7.2	13111	50
2025-5-24 13:32:14:219	WTGSB-A6(C3:11:EA:D7:53:77)	-0.619	-1.003	0.559	6.775	6.958	39.185	-68.09	45.06	26.54	-25.578	-19.306	55.272	-0.70370	0.57242	-0.16394	-0.38748	7.2	13111	50
2025-5-24 13:32:14:219	WTGSB-A6(C3:11:EA:D7:53:77)	-0.540	-1.500	0.074	4.333	3.174	40.710	-68.01	45.21	26.54	-25.578	-19.306	55.272	-0.70370	0.57242	-0.16394	-0.38748	7.2	13111	50
2025-5-24 13:32:14:219	WTGSB-A6(C3:11:EA:D7:53:77)	-0.549	-0.804	0.492	13.977	-2.441	39.551	-67.86	45.35	26.58	-25.578	-19.306	55.272	-0.70370	0.57242	-0.16394	-0.38748	7.2	13111	50
2025-5-24 13:32:14:219	WTGSB-A6(C3:11:EA:D7:53:77)	-0.112	-1.032	0.151	13.184	-2.197	37.964	-67.73	45.47	26.60	-25.578	-19.306	55.272	-0.70370	0.57242	-0.16394	-0.38748	7.2	13111	50
2025-5-24 13:32:14:220	WTGSB-A6(C3:11:EA:D7:53:77)	-0.477	-0.964	0.372	16.052	-4.333	39.856	-67.56	45.59	26.65	-25.578	-19.306	55.272	-0.70370	0.57242	-0.16394	-0.38748	7.2	13111	50
2025-5-24 13:32:14:220	WTGSB-A6(C3:11:EA:D7:53:77)	-0.576	-0.727	0.505	15.320	-0.671	40.588	-67.41	45.73	26.67	-25.578	-19.306	55.272	-0.70370	0.57242	-0.16394	-0.38748	7.2	13111	50
2025-5-24 13:32:14:220	WTGSB-A6(C3:11:EA:D7:53:77)	-0.403	-0.871	0.648	18.250	2.319	38.696	-67.27	45.86	26.67	-25.578	-19.306	55.272	-0.70370	0.57242	-0.16394	-0.38748	7.2	13111	50
2025-5-24 13:32:14:229	WTRIGHT(D0:74:13:DA:DA:8C)	0.430	-1.240	0.085	-5.554	-5.798	-13.245	-68.23	-26.33	-68.60	-62.622	-1.666	6.566	0.61008	-0.54843	0.14941	-0.55191	7.0	13111	60
