时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:34:43:326	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.001	1				0.11	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:342	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	1.031	-0.08		-0.244	-0.732	2.29	-3.95	-147.33	-57.036	-41.356	81.732	27.5	100
2025-6-24 23:34:43:342	WTRIGHT(D0:74:13:DA:DA:8C)	0.103	0.989	-0.055	-0.488	-0.366	-0.244	2.28	-3.94	-147.33	-57.036	-41.356	81.732	27.5	100
2025-6-24 23:34:43:351	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.001	0.997				0.12	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:351	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.996				0.12	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:371	WTRIGHT(D0:74:13:DA:DA:8C)	0.05	0.988	-0.056	-0.549	-0.427		2.27	-3.94	-147.33	-57.036	-41.356	81.732	27.5	100
2025-6-24 23:34:43:371	WTRIGHT(D0:74:13:DA:DA:8C)	0.099	0.946	-0.073	-0.977	-0.793	0.061	2.26	-3.94	-147.34	-57.036	-41.356	81.732	27.5	100
2025-6-24 23:34:43:384	WTLEFT(C3:11:EA:D7:53:77)	-0.01		0.999				0.12	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:384	WTLEFT(C3:11:EA:D7:53:77)	-0.011		1.001				0.12	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:432	WTRIGHT(D0:74:13:DA:DA:8C)	0.106	1.001	-0.063	-0.244	-0.244	-0.122	2.26	-3.94	-147.34	-57.036	-41.356	81.732	27.5	100
2025-6-24 23:34:43:432	WTRIGHT(D0:74:13:DA:DA:8C)	0.1	0.992	-0.055	-0.549	-0.671	0.061	2.25	-3.94	-147.34	-57.036	-41.356	81.732	27.5	100
2025-6-24 23:34:43:441	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.997				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:441	WTLEFT(C3:11:EA:D7:53:77)	-0.007	-0.003	1				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:461	WTRIGHT(D0:74:13:DA:DA:8C)	0.101	0.992	-0.055	-0.549	-0.732	-0.183	2.24	-3.94	-147.35	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:461	WTRIGHT(D0:74:13:DA:DA:8C)	0.113	0.991	-0.056	-0.854	-0.977	-0.061	2.23	-3.94	-147.37	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:472	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.002	1				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:472	WTLEFT(C3:11:EA:D7:53:77)	-0.01		1				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:492	WTRIGHT(D0:74:13:DA:DA:8C)	0.113	0.972	-0.127	-0.183	-1.099	0.244	2.2	-3.93	-147.2	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:492	WTRIGHT(D0:74:13:DA:DA:8C)	0.105	0.991	-0.046	-0.793	-1.343	-0.061	2.18	-3.93	-147.23	-57.134	-41.258	81.83	27.5	100
