时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:27:74	WTLEFT(C3:11:EA:D7:53:77)	-0.046	-0.052	0.893	2.38	-0.793	0.183	-2.08	2.87	-90.23	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:74	WTLEFT(C3:11:EA:D7:53:77)	-0.113	-0.027	0.986	3.357	-2.563	0.183	-2.01	2.83	-90.22	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:84	WTRIGHT(D0:74:13:DA:DA:8C)	-0.005	0.989	-0.107	3.845	0.61	1.892	4.09	5.14	-147.31	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:84	WTRIGHT(D0:74:13:DA:DA:8C)	0.066	1.013	-0.126	2.38	-0.61	-0.305	4.16	5.14	-147.26	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:93	WTLEFT(C3:11:EA:D7:53:77)	-0.037	0.025	1.051	2.686	-2.075	0.122	-1.94	2.8	-90.22	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:93	WTLEFT(C3:11:EA:D7:53:77)	-0.049	-0.026	1.045	0.732	-0.061	0.122	-1.9	2.79	-90.22	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:121	WTRIGHT(D0:74:13:DA:DA:8C)	0.038	0.994	-0.092	3.052	-0.793	-4.456	4.23	5.2	-147.21	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:121	WTRIGHT(D0:74:13:DA:DA:8C)	0.18	1.074	-0.105	1.77	-0.854	-10.986	4.28	5.36	-147.17	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:127	WTLEFT(C3:11:EA:D7:53:77)	-0.036	-0.006	1.109	-2.502	1.892	-0.183	-1.91	2.8	-90.22	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:128	WTLEFT(C3:11:EA:D7:53:77)	-0.002	-0.013	1.123	-7.08	3.418		-2	2.86	-90.23	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:184	WTLEFT(C3:11:EA:D7:53:77)	-0.048	-0.017	1.153	-13.55	7.141	-0.244	-2.21	2.98	-90.24	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:185	WTLEFT(C3:11:EA:D7:53:77)	-0.075	-0.041	0.938	-14.709	9.46	-0.183	-2.48	3.13	-90.25	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:207	WTRIGHT(D0:74:13:DA:DA:8C)	-0.058	0.994	-0.1	1.404	-1.221	-19.165	4.35	5.64	-147.15	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:208	WTRIGHT(D0:74:13:DA:DA:8C)	-0.008	0.932	-0.102	-0.793	-2.136	-24.475	4.37	6.03	-147.12	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:215	WTRIGHT(D0:74:13:DA:DA:8C)	0.006	1.074	-0.125	1.587	-2.014	-27.649	4.39	6.5	-147.09	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:215	WTRIGHT(D0:74:13:DA:DA:8C)	-0.14	1.073	-0.017	1.221	-0.366	-28.625	4.43	7.02	-147.04	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:217	WTLEFT(C3:11:EA:D7:53:77)	-0.06	-0.036	1.108	-19.47	3.052	0.244	-2.81	3.25	-90.26	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:217	WTLEFT(C3:11:EA:D7:53:77)	-0.056	-0.039	0.917	-19.409	7.263	-0.244	-3.17	3.39	-90.27	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:236	WTRIGHT(D0:74:13:DA:DA:8C)	-0.246	0.938	-0.027	0.61	-0.732	-27.1	4.45	7.53	-146.98	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:237	WTRIGHT(D0:74:13:DA:DA:8C)	-0.17	0.895	-0.133	1.404	0.244	-24.231	4.49	8	-146.9	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:244	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.033	1.037	-19.958	4.395	0.122	-3.54	3.51	-90.29	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:245	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.094	0.971	-18.25	2.869	-0.549	-3.91	3.59	-90.31	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:297	WTRIGHT(D0:74:13:DA:DA:8C)	-0.649	0.881	-0.056	0.305	0.916	-20.813	4.52	8.4	-146.83	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:298	WTRIGHT(D0:74:13:DA:DA:8C)	-0.167	0.374	-0.032	-14.099	-19.775	3.906	4.43	8.65	-146.87	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:307	WTLEFT(C3:11:EA:D7:53:77)	-0.055	-0.085	0.984	-13.916	2.197	-0.366	-4.2	3.64	-90.32	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:308	WTLEFT(C3:11:EA:D7:53:77)	-0.044	-0.062	0.901	-9.521	2.014	-0.366	-4.41	3.67	-90.32	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:329	WTRIGHT(D0:74:13:DA:DA:8C)	-0.18	0.977	-0.114	-0.61	0.061	-9.888	4.42	8.88	-146.81	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:330	WTRIGHT(D0:74:13:DA:DA:8C)	-0.129	0.868	-0.022	-1.16	0.183	-6.775	4.39	9.06	-146.75	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:336	WTLEFT(C3:11:EA:D7:53:77)	-0.019	-0.079	1.016	-9.644	0.061	-0.427	-4.58	3.67	-90.32	-80.556	-0.686	7.742	27.6	100
2025-6-24 23:35:27:337	WTLEFT(C3:11:EA:D7:53:77)	-0.073	-0.113	0.827	-6.775	-1.343	-0.122	-4.73	3.64	-90.32	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:353	WTRIGHT(D0:74:13:DA:DA:8C)	-0.164	0.887	-0.101	-0.549	-1.16	-4.211	4.37	9.18	-146.7	-53.9	-39.298	81.634	28.3	100
2025-6-24 23:35:27:353	WTRIGHT(D0:74:13:DA:DA:8C)	-0.134	0.828	-0.111	0.244	0.305	-5.859	4.37	9.3	-146.66	-53.9	-39.298	81.634	28.3	100
