时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:34:59:229	WTLEFT(C3:11:EA:D7:53:77)	-0.007	0.003	0.997	-0.061	-0.061		0.12	1.58	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:229	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.007	1	0.061			0.13	1.58	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:244	WTRIGHT(D0:74:13:DA:DA:8C)	0.128	0.984	-0.071	0.854	0.977	0.916	2.82	-4.33	-146.65	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:244	WTRIGHT(D0:74:13:DA:DA:8C)	0.12	0.98	-0.061	0.549	0.916	0.183	2.82	-4.35	-146.65	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:255	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.003	1.001	-0.061	-0.122		0.13	1.58	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:256	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.003	0.999	-0.427			0.12	1.58	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:307	WTRIGHT(D0:74:13:DA:DA:8C)	0.113	0.986	-0.068	0.488	0.916	-0.366	2.83	-4.35	-146.64	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:307	WTRIGHT(D0:74:13:DA:DA:8C)	0.113	0.99	-0.069	0.427	0.671	-0.671	2.84	-4.34	-146.63	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:312	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.001	1	-0.793	0.061		0.11	1.58	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:312	WTLEFT(C3:11:EA:D7:53:77)	-0.012		0.999	-0.977			0.1	1.58	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:335	WTRIGHT(D0:74:13:DA:DA:8C)	0.108	0.992	-0.065	0.488	0.61	-0.61	2.85	-4.33	-146.63	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:335	WTRIGHT(D0:74:13:DA:DA:8C)	0.11	0.989	-0.067	0.549	0.488	-0.427	2.85	-4.33	-146.63	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:342	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.002	0.998	-0.854			0.08	1.58	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:342	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.001	0.998	-0.793			0.07	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:364	WTRIGHT(D0:74:13:DA:DA:8C)	0.109	0.987	-0.063	0.427	0.549	-0.366	2.86	-4.32	-146.63	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:364	WTRIGHT(D0:74:13:DA:DA:8C)	0.112	0.987	-0.066	0.549	0.488	-0.61	2.87	-4.32	-146.63	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:376	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.002	1	-0.488			0.05	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:377	WTLEFT(C3:11:EA:D7:53:77)	-0.012		0.996	-0.488	-0.122		0.04	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:426	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.992	-0.066	0.427	0.488	0.122	2.87	-4.32	-146.63	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:426	WTRIGHT(D0:74:13:DA:DA:8C)	0.106	0.99	-0.062	0.61	0.671	0.549	2.88	-4.32	-146.63	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:435	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.996	-0.488	-0.183		0.03	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:435	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.002	1.001	-0.427	-0.061		0.03	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:457	WTRIGHT(D0:74:13:DA:DA:8C)	0.11	0.99	-0.064	0.488	0.977	0.977	2.89	-4.34	-146.63	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:458	WTRIGHT(D0:74:13:DA:DA:8C)	0.11	0.984	-0.072	0.549	0.916	1.16	2.9	-4.37	-146.62	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:467	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.997	-0.183	-0.122		0.03	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:471	WTLEFT(C3:11:EA:D7:53:77)	-0.012		0.996	-0.183			0.03	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:485	WTRIGHT(D0:74:13:DA:DA:8C)	0.1	0.985	-0.063	0.549	0.916	1.404	2.91	-4.39	-146.61	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:485	WTRIGHT(D0:74:13:DA:DA:8C)	0.103	0.991	-0.059	0.793	1.221	1.892	2.91	-4.42	-146.61	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:499	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.006	1		0.122		0.03	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:500	WTLEFT(C3:11:EA:D7:53:77)	-0.013		0.996		-0.122		0.03	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:543	WTRIGHT(D0:74:13:DA:DA:8C)	0.113	0.993	-0.058	0.977	1.404	2.625	2.92	-4.47	-146.59	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:544	WTRIGHT(D0:74:13:DA:DA:8C)	0.119	0.988	-0.064	1.282	1.648	2.869	2.94	-4.52	-146.58	-56.252	-41.846	82.124	28.3	100
