时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-24 23:34:34:805	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.005	1.005	0.000	0.000	0.000	-0.27	1.63	-90.67	-80.458	-0.980	9.016	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:806	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.004	1.000	-0.061	0.000	0.000	-0.27	1.63	-90.67	-80.458	-0.980	9.016	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:807	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.005	0.995	-0.122	0.000	0.000	-0.26	1.63	-90.67	-80.458	-0.980	9.016	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:808	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.002	1.001	-0.061	0.000	0.000	-0.26	1.63	-90.67	-80.458	-0.980	9.016	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:864	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.002	0.999	0.000	0.122	0.000	-0.26	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:864	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.004	0.999	-0.061	0.000	0.000	-0.26	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:893	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.004	0.999	-0.183	0.061	0.000	-0.26	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:893	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.003	0.999	0.000	0.122	0.000	-0.26	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:915	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	0.989	-0.068	0.488	0.671	0.305	3.09	-3.69	-147.32	-56.252	-41.454	82.614	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:34:916	WTRIGHT(D0:74:13:DA:DA:8C)	0.095	0.992	-0.067	0.366	0.610	0.122	3.09	-3.70	-147.30	-56.154	-41.356	82.712	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:34:917	WTRIGHT(D0:74:13:DA:DA:8C)	0.101	0.992	-0.070	0.427	0.488	0.488	3.10	-3.70	-147.29	-56.154	-41.356	82.712	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:34:917	WTRIGHT(D0:74:13:DA:DA:8C)	0.109	0.988	-0.070	0.488	0.732	0.549	3.10	-3.71	-147.28	-56.154	-41.356	82.712	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:34:918	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	0.981	-0.070	0.549	0.610	0.427	3.11	-3.72	-147.27	-56.154	-41.356	82.712	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:34:918	WTRIGHT(D0:74:13:DA:DA:8C)	0.098	0.992	-0.073	0.610	0.671	0.122	3.12	-3.73	-147.26	-56.154	-41.356	82.712	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:34:919	WTRIGHT(D0:74:13:DA:DA:8C)	0.098	0.991	-0.071	0.549	0.488	0.305	3.13	-3.74	-147.25	-56.154	-41.356	82.712	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:34:919	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.988	-0.069	0.732	0.427	0.732	3.14	-3.74	-147.24	-56.154	-41.356	82.712	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:34:953	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.003	0.998	0.122	0.122	0.000	-0.26	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:954	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.004	1.000	0.061	-0.061	0.000	-0.25	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:34:985	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.006	0.999	0.183	0.000	0.000	-0.25	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:34:986	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.000	0.999	0.000	0.000	0.000	-0.25	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:5	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.987	-0.067	0.793	0.549	0.977	3.15	-3.76	-147.23	-56.154	-41.356	82.712	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:35:5	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	0.988	-0.077	0.854	0.549	0.671	3.16	-3.77	-147.22	-56.154	-41.356	82.712	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:35:6	WTRIGHT(D0:74:13:DA:DA:8C)	0.095	0.990	-0.071	0.610	0.244	0.427	3.18	-3.78	-147.21	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:6	WTRIGHT(D0:74:13:DA:DA:8C)	0.106	0.988	-0.069	0.366	0.122	0.916	3.18	-3.80	-147.21	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:13	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.003	0.998	0.061	0.061	0.000	-0.24	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:13	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.004	0.998	0.061	0.061	0.000	-0.24	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:32	WTRIGHT(D0:74:13:DA:DA:8C)	0.106	0.984	-0.074	0.671	0.122	0.977	3.19	-3.81	-147.21	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:32	WTRIGHT(D0:74:13:DA:DA:8C)	0.109	0.988	-0.072	0.549	0.244	0.793	3.20	-3.83	-147.21	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:43	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.002	1.001	0.122	0.000	0.000	-0.23	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:43	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.000	1.003	0.000	0.000	0.000	-0.23	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:94	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.985	-0.076	0.122	0.183	0.183	3.21	-3.83	-147.20	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:94	WTRIGHT(D0:74:13:DA:DA:8C)	0.108	0.989	-0.072	0.122	0.000	0.244	3.21	-3.84	-147.21	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:104	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.004	0.998	0.000	0.000	0.000	-0.23	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:105	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.002	0.998	-0.061	0.000	0.000	-0.23	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:126	WTRIGHT(D0:74:13:DA:DA:8C)	0.098	0.989	-0.076	0.244	-0.183	-0.061	3.21	-3.84	-147.21	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:126	WTRIGHT(D0:74:13:DA:DA:8C)	0.100	0.987	-0.069	0.183	-0.183	-0.183	3.22	-3.83	-147.21	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:144	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.003	0.998	-0.061	0.061	0.000	-0.23	1.64	-90.67	-80.458	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:144	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.003	0.999	0.061	-0.061	0.000	-0.23	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:163	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.003	1.000	0.000	0.000	0.000	-0.22	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:163	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.002	1.000	0.000	0.000	0.000	-0.22	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:185	WTRIGHT(D0:74:13:DA:DA:8C)	0.111	0.989	-0.076	0.244	0.000	0.366	3.22	-3.84	-147.22	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:185	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.988	-0.072	0.183	-0.183	0.366	3.22	-3.85	-147.22	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:214	WTRIGHT(D0:74:13:DA:DA:8C)	0.106	0.990	-0.076	0.000	-0.122	0.061	3.23	-3.85	-147.22	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:215	WTRIGHT(D0:74:13:DA:DA:8C)	0.098	0.989	-0.075	0.061	0.183	-0.244	3.23	-3.85	-147.22	-56.154	-41.356	82.712	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:223	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.003	0.999	0.000	0.000	0.000	-0.21	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:223	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.004	0.999	0.000	0.000	0.000	-0.21	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:242	WTRIGHT(D0:74:13:DA:DA:8C)	0.085	0.989	-0.069	-0.122	-0.244	-0.488	3.23	-3.84	-147.23	-56.154	-41.454	82.516	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:242	WTRIGHT(D0:74:13:DA:DA:8C)	0.112	0.992	-0.069	0.000	-0.366	0.122	3.23	-3.83	-147.23	-56.154	-41.454	82.516	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:253	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.005	0.996	0.000	0.000	0.000	-0.21	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:253	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.000	1.002	0.000	0.000	0.000	-0.21	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.118	0.985	-0.071	0.061	-0.305	0.427	3.23	-3.85	-147.24	-56.154	-41.454	82.516	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.110	0.988	-0.079	0.000	-0.244	0.000	3.23	-3.85	-147.24	-56.154	-41.454	82.516	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:283	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.001	1.000	0.000	0.000	0.000	-0.21	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:283	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.003	0.997	0.000	0.000	0.000	-0.20	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:340	WTRIGHT(D0:74:13:DA:DA:8C)	0.096	0.989	-0.074	-0.061	-0.244	-0.427	3.23	-3.84	-147.25	-56.154	-41.454	82.516	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
