时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:13:109	WTRIGHT(D0:74:13:DA:DA:8C)	0.056	0.963	-0.118	-0.366	-0.061	9.766	3.36	-2.8	-148.44	-54.88	-40.768	82.32	28.3	100
2025-6-24 23:35:13:109	WTRIGHT(D0:74:13:DA:DA:8C)	0.121	1.02	-0.104	-1.038	0.061	11.23	3.35	-2.99	-148.43	-54.88	-40.768	82.32	28.3	100
2025-6-24 23:35:13:110	WTLEFT(C3:11:EA:D7:53:77)	-0.017	-0.017	0.953	3.113	-0.427	-0.061	-0.65	1.65	-91	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:13:110	WTLEFT(C3:11:EA:D7:53:77)	-0.004	-0.003	1	4.211	-0.488		-0.57	1.65	-91	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:13:117	WTLEFT(C3:11:EA:D7:53:77)	-0.015	-0.009	1.024	3.784	-0.61	0.244	-0.5	1.64	-90.99	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:13:117	WTLEFT(C3:11:EA:D7:53:77)	-0.015	-0.013	0.996	2.808	-0.305	0.061	-0.44	1.63	-90.99	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:13:132	WTRIGHT(D0:74:13:DA:DA:8C)	0.169	1.011	-0.035	-0.977	-0.488	11.23	3.33	-3.2	-148.43	-54.88	-40.768	82.32	28.3	100
2025-6-24 23:35:13:133	WTRIGHT(D0:74:13:DA:DA:8C)	0.16	1.012	-0.072	-2.197	-1.221	7.813	3.3	-3.38	-148.45	-54.88	-40.768	82.32	28.3	100
2025-6-24 23:35:13:143	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.01	1	2.625	-0.488		-0.39	1.63	-90.98	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:13:143	WTLEFT(C3:11:EA:D7:53:77)	-0.011		1.027	1.038	-0.122	0.061	-0.36	1.62	-90.98	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:196	WTRIGHT(D0:74:13:DA:DA:8C)	0.15	1.014	-0.05	-2.502	-1.953	3.784	3.25	-3.47	-148.47	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:197	WTRIGHT(D0:74:13:DA:DA:8C)	0.12	0.995	-0.103	-2.93	-2.258	0.427	3.19	-3.52	-148.51	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:205	WTLEFT(C3:11:EA:D7:53:77)	-0.019	0.004	1.015	0.61	-0.366		-0.34	1.61	-90.97	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:205	WTLEFT(C3:11:EA:D7:53:77)	-0.015	-0.018	0.977	-0.122	-0.244	0.122	-0.34	1.61	-90.97	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:229	WTRIGHT(D0:74:13:DA:DA:8C)	0.109	0.984	-0.074	-3.296	-3.296	-0.671	3.12	-3.51	-148.55	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:230	WTRIGHT(D0:74:13:DA:DA:8C)	0.141	0.985	-0.071	-3.845	-3.845	-2.136	3.06	-3.48	-148.61	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:257	WTRIGHT(D0:74:13:DA:DA:8C)	0.124	0.982	-0.073	-3.784	-3.723	-3.723	2.99	-3.43	-148.68	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:258	WTRIGHT(D0:74:13:DA:DA:8C)	0.127	0.996	-0.071	-3.601	-5.127	-5.92	2.94	-3.34	-148.75	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:270	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.003	1.006	-1.038	-0.244		-0.35	1.6	-90.97	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:271	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.007	1	-0.854	-0.366		-0.36	1.6	-90.96	-80.556	-0.98	8.232	27.6	100
