timestamp,device_name,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,qua_w,qua_x,qua_y,qua_z,glb_angle_x,glb_angle_y,glb_angle_z,glb_acc_x,glb_acc_y,glb_acc_z,glb_gyro_x,glb_gyro_y,glb_gyro_z,imu_angle_x,imu_angle_y,imu_angle_z,norm_time
2025-5-24 13:23:31:0,WTRIGHT,1.2154681051372753,-9.502767398952779,-3.8152077190895386,3.0569209212126833,-76.72668275838909,40.12545974350197,-0.56961,0.54291,-0.23654,0.56982,-73.2,-18.6,290.23,2.4738428060382347,-6.035726715549652,6.625446626835417,4.356648398767602,23.391076557149198,76.22273794340919,-24.97846602199199,37.689256947725994,-92.328421270096,2025-05-24 13:23:31:000
2025-5-24 13:23:31:1,WTRIGHT,0.4436966784193459,-9.835573661320339,-3.6201315173234603,1.315005886599183,-76.29064606942052,39.798962023061506,-0.56961,0.54291,-0.23654,0.56982,-73.38000000000001,-18.53,290.64,-4.973018601236815,5.245672604393297,7.320230984984418,-2.4878116124405985,27.737679870309606,79.24386004834258,-24.941633433155992,37.237801911304004,-92.34150771802199,2025-05-24 13:23:31:001
2025-5-24 13:23:31:1,WTRIGHT,-0.31449062551126117,-10.568894951157379,-3.4747009667613966,-0.18472966215368627,-75.51497825108915,39.183626991706745,-0.56961,0.54291,-0.23654,0.56982,-73.60000000000001,-18.36,291.09000000000003,-7.745703110860473,-5.0651568048431095,2.004175030525121,14.324825231989005,39.888790098148604,86.35416378776898,-24.990972263143995,36.71122794306599,-92.34329162174399,2025-05-24 13:23:31:001
2025-5-24 13:23:31:1,WTRIGHT,-0.8598579306857033,-11.554877899209675,-3.3546451576463268,-1.3170102451574162,-74.38476985935834,37.945731398543344,-0.56961,0.54291,-0.23654,0.56982,-73.77,-18.26,291.43,-7.817841957908098,0.2674519546056331,12.967381966043344,4.947753312630606,26.1952019633014,70.1635549405788,-25.003381331993985,36.318689336422004,-92.357919790756,2025-05-24 13:23:31:001
2025-5-24 13:23:31:2,WTRIGHT,-0.9512658005138629,-12.552842683809828,-3.230827915867927,-1.9292170605171142,-72.88624276814359,35.86004556039155,-0.56961,0.54291,-0.23654,0.56982,-73.95,-18.13,291.81999999999994,-7.001080466410628,21.172048464983366,14.31396989736588,10.315762095715604,30.7465971757072,77.0813579198686,-25.02789317242199,35.870653224908004,-92.35603978850199,2025-05-24 13:23:31:002
2025-5-24 13:23:31:27,WTRIGHT,-0.4936431804242511,-13.39685477577454,-3.017087902932883,-1.8088908948769176,-70.94229450092381,32.92705739989504,-0.56961,0.54291,-0.23654,0.56982,-74.2,-17.95,292.26,-15.845381158153394,14.767158941535763,4.105219924648397,10.037857701223604,43.97799407927899,83.291001734758,-25.096941237464,35.33880019233199,-92.383964728362,2025-05-24 13:23:31:027
2025-5-24 13:23:31:28,WTRIGHT,0.2396377647808653,-14.064015914859365,-2.566968841707253,-0.763637213216048,-68.49918411991663,29.47415711055753,-0.56961,0.54291,-0.23654,0.56982,-74.44,-17.89,292.6,-9.08253840398286,-24.87216867108591,7.032075322414443,-11.167907386528796,34.9651081170612,63.913400074371395,-25.08980995532,34.928361427328014,-92.47472335034199,2025-05-24 13:23:31:028
2025-5-24 13:23:31:28,WTRIGHT,0.7998462797914024,-14.52894985779458,-1.858810586078895,1.1715701686327096,-65.65014649811535,26.054372227074914,-0.56961,0.54291,-0.23654,0.56982,-74.6,-17.9,292.87,-4.683352456453852,0.45572530799807964,19.87632811699612,-19.675779555431994,15.955013184563203,54.828658168972396,-25.024622053408002,34.628204763214,-92.53974252828398,2025-05-24 13:23:31:028
2025-5-24 13:23:31:28,WTRIGHT,0.9964674966071473,-14.66314877987379,-1.0805976993840767,3.664781887746581,-62.55925942573299,23.008767664030476,-0.56961,0.54291,-0.23654,0.56982,-74.72,-17.84,293.18,-3.5078962728853114,4.551688201154907,15.859813976473522,-2.2193042981637987,14.234324774075212,64.9958822044768,-24.999340998927998,34.291485186795995,-92.53287142246401,2025-05-24 13:23:31:028
2025-5-24 13:23:31:28,WTRIGHT,0.9300439275091051,-14.34505869370513,-0.450915833884059,6.274049432666983,-59.325313577741106,20.215406865110626,-0.56961,0.54291,-0.23654,0.56982,-74.83,-17.74,293.48,-7.473655687744719,17.212804960230553,13.713700455462588,4.309379967931603,16.186120362257206,65.77412362431039,-25.011406452949995,33.95800778384,-92.506145926196,2025-05-24 13:23:31:028
