timestamp,device_name,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,qua_w,qua_x,qua_y,qua_z,glb_angle_x,glb_angle_y,glb_angle_z,glb_acc_x,glb_acc_y,glb_acc_z,glb_gyro_x,glb_gyro_y,glb_gyro_z,imu_angle_x,imu_angle_y,imu_angle_z,norm_time
2025-5-24 12:50:9:10,WTRIGHT,3.1345602095398664,-10.815624507355665,0.9296654240716287,5.751606105753279,-1.855239017518903,15.057546304101761,0.61258,-0.59445,0.24326,-0.46051,-80.15,-12.82,-59.92,-4.41684309970414,-5.167978737737363,18.439618857397726,12.987039906466801,9.841802105504401,3.7418723942507994,-40.66641898369601,36.703811954036,-84.706590398954,2025-05-24 12:50:09:010
2025-5-24 12:50:9:10,WTRIGHT,3.5907649257614014,-11.52583496278069,1.434044255504489,6.823200313439842,-1.372585463698603,14.694353829409325,0.61258,-0.59445,0.24326,-0.46051,-80.12,-12.76,-59.9,0.8769318111012088,-5.17261127649656,21.451256902864863,11.415206752603602,-2.6699511519544,8.3411714547898,-40.698912834948,36.685154044104,-84.6474739242,2025-05-24 12:50:09:010
2025-5-24 12:50:9:11,WTRIGHT,3.751317021139358,-11.741287961896683,1.9917893607731607,7.800395803895694,-0.7547223895611698,14.34193483539031,0.61258,-0.59445,0.24326,-0.46051,-80.09,-12.71,-59.9,1.1259512949343025,2.6281554450110596,16.47627952425001,11.9936171503526,-4.285661902848199,3.220221387550999,-40.727861942092005,36.68685311370201,-84.596895489542,2025-05-24 12:50:09:011
2025-5-24 12:50:9:11,WTRIGHT,3.770557806968862,-11.529351611112416,2.475853195530705,8.467157614779126,-0.08273131440910445,13.896995090539708,0.61258,-0.59445,0.24326,-0.46051,-80.02,-12.61,-59.9,2.002766787429911,2.916676716140804,9.607008188655762,23.4673949451954,-3.0219097401564006,4.1160390092874,-40.781186354667994,36.693001119074005,-84.48728329261999,2025-05-24 12:50:09:011
2025-5-24 12:50:9:11,WTRIGHT,3.8178896651070318,-11.111345435758698,2.8412881800790397,8.745057959275899,0.595187405992278,13.173688277995675,0.61258,-0.59445,0.24326,-0.46051,-79.99,-12.5,-59.89,-0.9335849150773534,2.8137435131239834,4.027444871065214,22.325181605008197,1.7707745719752008,5.2411480068011995,-40.858845397374,36.677316117084004,-84.40470214088998,2025-05-24 12:50:09:011
2025-5-24 12:50:9:12,WTRIGHT,3.94508063977349,-10.656389910916413,3.1081960197178073,8.725100146891974,1.3007452729446898,12.094186710111765,0.61258,-0.59445,0.24326,-0.46051,-79.96,-12.44,-59.89,1.148720552396822,-4.163903289694881,14.421453978769193,13.611939591879201,-0.9198894047059998,4.185027730122199,-40.89632860697399,36.677705080896004,-84.349081215864,2025-05-24 12:50:09:012
2025-5-24 12:50:9:12,WTRIGHT,4.077709796241699,-10.219128195108098,3.2862449646057352,8.600872317308555,2.090701594481795,10.771298772429006,0.61258,-0.59445,0.24326,-0.46051,-79.92,-12.38,-59.89,-1.5209328285315489,4.985635902921592,12.494875992587344,12.8981945414566,-3.171661323877599,1.2128839863082,-40.92923801486201,36.680843910884,-84.28500496323201,2025-05-24 12:50:09:012
2025-5-24 12:50:9:12,WTRIGHT,4.065438535962041,-9.839175108811844,3.3462460391683164,8.594956600067642,2.9987831759339234,9.415742931673908,0.61258,-0.59445,0.24326,-0.46051,-79.89,-12.33,-59.870000000000005,5.175370545430596,-2.9067902387859323,12.518388731279597,12.410505185602599,-2.152825105944999,6.5702111329882005,-40.95319776365801,36.66349610673801,-84.230930978846,2025-05-24 12:50:09:012
2025-5-24 12:50:9:28,WTGSB-A6,-3.584000850700613,-9.178347116034082,1.44005445809178,-9.152359923439434,-4.622263039555349,-19.73311846392958,0.77615,-0.51672,0.31946,-0.16864,-75.28,20.36,-400.2,-1.275776146647536,-4.871087704489125,13.563862193962564,-19.846222565578,-14.026578239142097,2.2281439853670992,-54.74794725051999,50.05014320486799,-46.837941981316014,2025-05-24 12:50:09:028
2025-5-24 12:50:9:28,WTGSB-A6,-3.64352128395667,-8.929050886069266,1.3551693888236274,-9.236539067632043,-3.8701298266700217,-20.275741913137992,0.77069,-0.51648,0.3288,-0.17624,-75.31,20.25,-400.27,1.475451916536866,1.7106487658745873,7.001887400501245,-18.6512360219912,-11.5447189660475,-0.9174141048479001,-53.640194919987024,50.031912039361,-48.17770874235501,2025-05-24 12:50:09:028
2025-5-24 12:50:9:28,WTGSB-A6,-3.8208587938690695,-8.709290213207778,1.337833740013156,-9.548314771485712,-2.988018998922462,-20.473904048198392,0.77069,-0.51648,0.3288,-0.17624,-75.36000000000001,20.14,-400.34,0.748497967557098,0.8057695921618007,4.644611614225178,-21.2584399920564,-10.1371438522804,0.9719221144387014,-53.586297266768,50.05468173415801,-48.30448447092999,2025-05-24 12:50:09:028
2025-5-24 12:50:9:28,WTGSB-A6,-4.088512298931403,-8.597384248895827,1.3561336696791801,-10.024416924241192,-2.0613300626099758,-20.35690090572512,0.77069,-0.51648,0.3288,-0.17624,-75.42,20.04,-400.40999999999997,-3.248010129099211,-1.846900790303275,13.377685799317844,-21.8983059755623,-6.528260466433799,1.2139488028405996,-53.54572796103002,50.082173877204,-48.431346780465006,2025-05-24 12:50:09:028
2025-5-24 12:50:9:30,WTGSB-A6,-4.368469398727366,-8.59763158329033,1.4075478047423486,-10.573163883431413,-1.164649477462197,-19.972451106912423,0.77069,-0.51648,0.3288,-0.17624,-75.47,19.95,-400.5,-0.7048467045591207,2.090960082421631,7.268497287295194,-19.8444040307759,-7.149994708985301,-4.701507316344201,-53.497560971523,50.131268527090995,-48.549521830337994,2025-05-24 12:50:09:030
2025-5-24 12:50:9:30,WTGSB-A6,-4.576365313363521,-8.675673501724253,1.4901195053343919,-11.109467006515525,-0.32802802406061904,-19.362929655324027,0.77069,-0.51648,0.3288,-0.17624,-75.54,19.85,-400.58000000000004,-4.183511741945146,0.4624381972371445,6.891938666376894,-23.5700839589245,-7.506164680511201,-1.035276122520596,-53.460959543938,50.168560388169,-48.68577431185,2025-05-24 12:50:09:030
2025-5-24 12:50:9:30,WTGSB-A6,-4.655644278643438,-8.767054155856147,1.5852703595613133,-11.555905962022198,0.4733019267941978,-18.579152769627846,0.77069,-0.51648,0.3288,-0.17624,-75.61,19.76,-400.63,-1.8664970441528093,-0.4199984242785302,18.078431960947963,-21.9366273373093,-4.964906678732502,4.386236296990902,-53.44021372315299,50.182535232136004,-48.807719950678994,2025-05-24 12:50:09:030
2025-5-24 12:50:9:30,WTGSB-A6,-4.59648833237204,-8.824863668714473,1.6646657230663038,-11.866891649941637,1.2438266838175613,-17.690711263044882,0.77069,-0.51648,0.3288,-0.17624,-75.67,19.69,-400.72,0.6268422742728665,1.1282221666302972,8.688323129564447,-19.795592062233702,-4.230523682505401,-1.0683264682137006,-53.411487981719006,50.240394934153,-48.91917961632799,2025-05-24 12:50:09:030
2025-5-24 12:50:9:37,WTRIGHT,3.774268787412908,-9.601094126224854,3.2600376697085123,8.9050406417838,3.9895070955261462,8.210472488721893,0.61258,-0.59445,0.24326,-0.46051,-79.89,-12.33,-59.910000000000004,11.431717313972255,-13.893282676885956,8.619675110932313,-1.7488064377338002,-1.5078489077099997,-7.0895324014764,-40.96317648035401,36.701589854226015,-84.237922078302,2025-05-24 12:50:09:037
2025-5-24 12:50:9:38,WTRIGHT,3.265176619976785,-9.573771684884775,3.039680706481683,9.606021610118997,4.970430375059856,7.1931317991403025,0.61258,-0.59445,0.24326,-0.46051,-79.83,-12.29,-59.949999999999996,-3.9290306499115353,6.060848862937292,14.142950239939118,14.357342346827402,-4.9903754773325995,-5.4839184408816,-40.979848796602,36.75094237562602,-84.17401125065,2025-05-24 12:50:09:038
